Region,N,Slope,Slope_err,Intercept,Intercept_err,Dispersion,R2,p_value
rOph,79,1.0095770000752848,0.1574830790434205,1.110191667802841,0.11024930983081564,0.6028619141951742,0.34799411098407634,1.0602732723886762e-08
Taurus,120,0.8646085722846382,0.17196117121663096,1.1496583595783854,0.0973711873347313,0.6773032452409004,0.17643815105036292,1.7878815063533808e-06
USco,34,0.9652171766605088,0.2856636778396858,0.47692571022908836,0.18463683141611725,0.5707003754304076,0.262956173640405,0.0019289134141143253
Lupus,64,1.2590866919585155,0.17152079127176645,1.4466817812628259,0.12498569192425693,0.5571395267149595,0.4649924752771621,5.519911302900676e-10
ChamI,66,1.0884109068964918,0.1829038289847907,1.1683552306262461,0.11137424118628035,0.6093115669873089,0.35620911337746364,1.2301086476096156e-07
CrA,19,0.11246547586225478,0.22720577026293687,0.1565037390546098,0.17248601018688975,0.5235980566501718,0.014208101793061699,0.6269410836970307
ChamII,20,2.0670819160862357,0.4212908822024872,1.6800197011082605,0.17424226970554405,0.4745408350555723,0.572184035734666,0.00011370140437721815
