mstar,L_x,Habing_G0,m0,r1
0.10373626373626374,0.006101045697307049,2.900878437659739,3.370042008640241e-06,0.1673900137002548
0.12329670329670331,0.021564639342608796,3.455001218545193,5.2905624196426835e-05,0.5572329903673198
0.3573626373626374,0.20150223620918273,4.577640635163025,2.842090406807737e-05,0.2219912425295107
0.3549450549450549,0.04586222409026472,11.850192462493142,9.84826318483973e-06,0.18366977780558527
0.29736263736263735,0.35128483108045205,4.0834657463335216,4.4989129036725775e-05,0.535436919357298
0.18021978021978025,0.007807550654056325,14.79155912156452,2.8330498415314034e-05,0.6795167024945826
0.14065934065934066,0.06247687030770151,4.879551568117301,1.614224768337062e-05,0.5889765627514704
0.1457142857142857,0.015120773752410745,8.957129562134352,1.2997241158192055e-06,0.07996821436560236
0.12681318681318682,0.02481114124095782,2.8602710037181462,9.36127064637701e-06,0.2760887796692134
0.24703296703296704,0.361390130280238,27.389029635022567,2.9117473099000513e-06,0.32145188308553463
0.27472527472527475,0.7941789892205976,21.64288217469085,1.7453289055911192e-05,0.2246867704364748
0.1610989010989011,0.026348562485200334,3.177606082575028,1.2176397393886808e-05,0.3411498299367523
0.11384615384615385,0.15185710863172827,37.84329388441437,6.435108288826562e-06,0.2033168609410946
0.8854945054945055,1.7457075508832591,1.7257244199143735,1.753958112851162e-05,0.3982995172816103
0.20923076923076922,0.025095237460263035,61.71958404652731,0.00014710908545818006,0.8120233186589427
0.13824175824175824,0.015995496269241013,32.23937181306209,9.401075121673397e-06,0.5429853333087294
0.11934065934065935,0.38309322948684926,4.053391783587124,7.498315825284886e-05,0.7801947463778846
0.2582417582417582,0.2615894729104374,3.7750582937240793,1.1089052536339316e-05,0.6773950346829979
0.1912087912087912,0.021515023251863892,13.684386955835413,3.869989502589761e-05,0.7037572149755371
0.250989010989011,0.38328847247201364,4.400009674878114,1.5950611500748876e-05,0.3706736045917393
0.20153846153846156,0.15378144187489798,5.408706135888699,1.3083005672395177e-05,0.6069721127420868
0.7608791208791209,1.242744353195137,3.3754249318394116,0.00010736848438620293,0.6185780205562907
0.21472527472527475,0.712145981447329,6.924530273494463,1.4115461681960654e-06,0.08681433442905995
0.1221978021978022,0.7307049628827829,9.682035850159645,3.0972858363887096e-06,0.21635632320544126
0.6556043956043955,0.03694670135884319,158.90232245774482,6.90504955306154e-05,0.5945851597640103
0.1589010989010989,0.06957726069467769,2.6083576880578696,4.853723213098402e-05,0.4715903093131036
0.21186813186813186,0.09055193411897203,13.224045678929919,0.0001437902399336942,0.9461678181484457
0.2883516483516484,0.0540331306733121,25.441824473934748,7.127192135458051e-05,0.7716387519612811
0.18395604395604398,0.0669754310050008,2.7530999456977865,7.148780798484457e-05,0.9023471057372164
0.36593406593406597,0.15138216163167903,2.405319376560151,3.157249820977082e-06,0.19046133793620687
0.12329670329670331,0.1516011049996575,23.805057791931826,1.909056572601848e-05,0.25461981974231235
0.4989010989010989,0.18111233089119674,1.9204111102582249,5.7669544048913647e-05,0.47249665621012865
0.11120879120879121,0.025741708336017494,3.089369636918531,2.339651873367911e-05,0.7778608515366838
0.1441758241758242,0.08366919595104672,23.511331594706675,2.5176404226774883e-05,0.7261140822921832
0.12703296703296704,0.004852708162403619,2.428510049274992,7.340344766010183e-06,0.17160645518779213
0.1,0.007377907862523228,2.733245795471562,5.003302718461112e-07,0.20925070951317476
0.20813186813186813,0.25758695767177303,30.194127484097024,4.113904516896693e-05,0.42917240924033356
0.3274725274725275,0.12118830500019373,94.64523899458403,1.6095171490562494e-05,0.5360365763791418
0.12527472527472527,1.070069964505594,2.2507318391264315,1.5545391700028245e-05,0.1835002371613072
