mstar,L_x,Habing_G0,m0,r1,alpha
0.21978021978021978,0.08951791913872544,5.914457866651393,2.360281739019743e-05,1.189591260580547,0.0004461457967052015
0.5213186813186813,0.8084312505042655,21.147839584985604,0.0041643661086042056,32.34952333068143,0.004079132791823244
0.5002197802197802,2.2766367719499523,15.818264594807854,0.00046908809227475613,1.4576639260309323,0.0013508585778242402
0.38967032967032966,0.09722424743308315,1.1306387300841352,0.0008409808536594399,6.012961271708047,0.000127943684844797
0.1912087912087912,0.3057056490359455,7.390286149137552,0.00048191201639830543,4.4963138200763355,0.000580095671663925
0.3850549450549451,0.35864571443222276,66995.74878342886,0.3079877287835962,217.82951509365296,0.0003115215758540195
0.9505494505494505,3.9793322814955188,10.354486824562473,0.0035230373908282553,6.456360704150789,0.00017012893152369747
0.7303296703296703,0.06949186274230679,2.563062405834748,0.0023725661736035534,18.851613963764414,0.0010101157308483584
0.49318681318681323,0.18788590972172767,3.9079434816855754,8.231689178859124e-05,1.3481242463241445,0.005436900948561242
0.9021978021978022,1.7670337738006037,35.77904413590026,0.16137561249616178,152.5429107912373,0.00033439399381570345
0.23054945054945056,0.23734459671827496,26.11635805263747,0.00035056409939535586,3.3698916845478646,0.0024622952812287983
0.6685714285714286,19.455007287170016,12.869014683205902,0.0013911505056140305,13.473828895707333,0.00704515133897095
0.6107692307692307,0.24623717101701703,2.2261335474803867,0.011315078958614649,8.66937151881538,0.000770550645885938
0.5738461538461539,3.3874215359780275,2.798006450296839,0.0550659111295066,157.46435102271485,0.003064093493184717
0.14835164835164835,0.04541385490201071,28.598411769850728,0.00021788325245103904,1.7116080171321895,0.0009589152622835722
0.5947252747252747,1.2851835538853116,3.641073993966055,0.0012286359361065114,7.992505479864971,0.00569334457345148
0.22571428571428573,0.047101007138493085,23.264936800168336,0.0014859701107961065,6.103894332557268,0.0012556250984756085
0.7986813186813186,2.912879496273472,2.4500248429126614,0.070164400880401,23.03733171074835,0.0004156559236666462
0.547032967032967,0.436751645009407,19.13613711116997,0.005310095739798168,7.362306516772762,0.007578953265186416
0.6318681318681318,1.5848863588829958,1.9947477793941284,0.004674756072833685,90.42974472461862,0.0002503363176731677
0.9905494505494505,0.24894173053534663,17.93773300065973,0.000597502081329191,3.3125234161196033,0.0022888271170856326
0.34307692307692306,1.2156699448882413,3.133127538829127,0.017769548898547642,16.655217042871072,0.0032816613392739518
0.6606593406593406,0.9772762658579405,43.033200669786254,0.007423690688297208,12.800501491672021,0.00010292659582622741
0.13406593406593406,0.0856566293015253,3.247581159512937,0.00041060602016896637,1.8838463221203625,0.0016734801079827748
0.3318681318681319,0.3482088661004183,11.301835135069297,0.012170359046224842,239.42945824120287,0.0020827441344757444
0.21626373626373627,0.016989867807423262,3.71198973077475,0.0008821896802878661,3.8791610333169615,0.0006898747118005082
0.210989010989011,0.02795615982682138,4.312619594831057,0.04278761698232837,25.8916810705565,0.0016054904246386782
0.358021978021978,0.5764626545084197,13.998779382560542,0.0023034622764061103,7.205190730807238,0.0005027014578961129
0.19802197802197802,0.07791499254608146,2.545106963346344,7.238497782629178e-05,2.931961573752721,0.0034447599575717813
