Region 	Source 	2MASS/SSTc2d 	RA 	Dec 	EDR3_plx 	EDR3_err_plx 	EDR3_RUWE 	EDR3_Dist_PPVII 	PM_EDR3_mas 	Disk 	Disk_Flag 	Observatory 	Freq_GHz 	Wavelength 	Beam_arcsec 	RMS_mJy/beam 	Survey_Ref 	Flux_mJy_Standardized 	Mdust_Mearth_Standardized 	Mdust_Mearth_PPVII 	Size_as 	eSize_as 	Hendler20_lR68 	Hendler20_R68_arcsec 	Hendler20_R68_au_DR3 	ref_spt 	Source_check 	Teff_HH14 	Lstar_DR3 	logLacc_DR3 	Mstar_B15_DR3 	logMacc_B15_DR3 	Mstar_S00_DR3 	logMacc_S00_DR3 	Mstar_Fei_DR3 	logMacc_Fei_DR3 	Mstar_PPVII 	logMacc_PPVII 	notes_Macc_PPVII
Lupus 	Sz65 	J15392776-3446171 	15:39:27.753 	-34:46:17.577 	6.5159 	0.0253 	1.417 	153.47 	[-13.218, -22.121] 	II 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.30, 0.12] 	[Ansdell+2016, Ansdell+2018] 	[64.49, 29.94] 	[15.87, 21.19] 	21.19 	[, 0.43] 	[, 0.01] 	-- 	0.14 	21.4858 	Alcala+14,17,19 	Sz65 	4020 	0.869 	-2.58 	0.661 	-9.516 	0.725 	-9.556 	0.61 	-9.48 	0.61 	-9.48 	<
Lupus 	Sz66 	J15392828-3446180 	15:39:28.264 	-34:46:18.450 	6.4134 	0.0269 	1.200 	155.92 	[-13.124, -21.807] 	II 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.27, 0.13] 	[Ansdell+2016, Ansdell+2018] 	[14.78, 6.42] 	[3.75, 4.69] 	4.69 	[, ] 	[, ] 	< 	0.08 	12.4736 	Alcala+14,17,19 	Sz66 	3410 	0.216 	-1.767 	0.291 	-8.508 	0.3125 	-8.538 	0.31 	-8.54 	0.291 	-8.508 	--
Lupus 	J15430131-3409153 	J15430131-3409153 	15:43:01.290 	-34:09:15.400 	-- 	-- 	-- 	158 	[, ] 	F 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.39, 0.12] 	[Ansdell+2016, Ansdell+2018] 	[ <0.93, <0.27] 	[ <0.24, <0.20] 	<0.20 	[, ] 	[, ] 	-- 	-- 	-- 	-- 	J15430131-3409153 	-99 	-99 	-99 	-99 	-- 	-99 	-- 	-99 	-99 	-99 	-99 	--
Lupus 	J15430227-3444059 	J15430227-3444059 	15:43:02.290 	-34:44:06.200 	-0.0997 	0.2261 	1.018 	158 	[-0.114, 0.037] 	F 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.34, 0.10] 	[Ansdell+2016, Ansdell+2018] 	[ <0.81, <0.27] 	[ <0.21, <0.20] 	<0.20 	[, ] 	[, ] 	-- 	-- 	-- 	-- 	J15430227-3444059 	-99 	-99 	-99 	-99 	-- 	-99 	-- 	-99 	-99 	-99 	-99 	--
Lupus 	J15445789-3423392 	J15445789-3423392 	15:44:57.900 	-34:23:39.500 	6.4956 	0.0772 	1.201 	153.95 	[-18.940, -22.748] 	II 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.24, 0.10] 	[Ansdell+2016, Ansdell+2018] 	[ <0.54, <0.27] 	[ <0.13, <0.19] 	<0.19 	[, ] 	[, ] 	-- 	-- 	-- 	Alcala+14,17,19 	J15445789-3423392 	2980 	0.02 	-4.073 	0.087 	-10.68 	0.1 	-10.74 	0.09 	-10.7 	0.087 	-10.68 	--
Lupus 	J15450634-3417378 	J15450634-3417378 	15:45:06.322 	-34:17:38.332 	-- 	-- 	-- 	158 	[, ] 	F 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.34, 0.11] 	[Ansdell+2016, Ansdell+2018] 	[15.00, 6.18] 	[3.91, 4.64] 	4.64 	[, ] 	[, ] 	< 	0.08 	12.64 	-- 	J15450634-3417378 	-99 	-99 	-99 	-99 	-- 	-99 	-- 	-99 	-99 	-99 	-99 	--
Lupus 	J15450887-3417333 	J15450887-3417333 	15:45:08.852 	-34:17:33.835 	6.4595 	0.1448 	1.137 	154.81 	[-15.208, -22.202] 	II 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.40, 0.12] 	[Ansdell+2016, Ansdell+2018] 	[46.27, 20.70] 	[11.59, 14.91] 	14.91 	[, ] 	[, ] 	-- 	0.12 	18.5772 	Alcala+14,17,19 	J15450887-3417333 	2920 	0.059 	-1.77 	0.092 	-8.156 	0.1 	-8.19 	0.09 	-8.14 	0.092 	-8.156 	--
Lupus 	Sz68 	J15451286-3417305 	15:45:12.849 	-34:17:31.071 	6.5157 	0.0548 	3.402 	158 	[-14.243, -21.780] 	II 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.61, 0.18] 	[Ansdell+2016, Ansdell+2018] 	[150.37, 66.38] 	[39.22, 49.80] 	49.8 	[, 0.25] 	[, 0.01] 	-- 	-- 	-- 	Alcala+14,17,19 	Sz68 	4710 	5.691 	-1.158 	nan 	nan 	1.9099 	-8.285 	1.32 	-8.12 	1.32 	-8.12 	<
Lupus 	Sz69 	J15451741-3418283 	15:45:17.391 	-34:18:28.685 	6.5548 	0.0689 	1.494 	152.56 	[-14.943, -22.579] 	II 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.24, 0.11] 	[Ansdell+2016, Ansdell+2018] 	[16.96, 8.05] 	[4.12, 5.63] 	5.63 	[, ] 	[, ] 	< 	0.06 	9.1536 	Alcala+14,17,19 	Sz69 	3085 	0.087 	-2.781 	0.15 	-9.344 	0.15 	-9.341 	0.13 	-9.28 	0.15 	-9.344 	--
Lupus 	Sz71 	J15464473-3430354 	15:46:44.709 	-34:30:36.054 	6.4432 	0.0172 	1.264 	155.20 	[-13.853, -23.352] 	II 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.37, 0.12] 	[Ansdell+2016, Ansdell+2018] 	[166.04, 69.15] 	[41.79, 50.06] 	50.06 	[, 0.63] 	[, 0.01] 	-- 	0.45 	69.84 	Alcala+14,17,19 	Sz71 	3640 	0.327 	-2.173 	0.414 	-9.033 	0.4275 	-9.047 	0.43 	-9.05 	0.414 	-9.033 	--
Lupus 	Sz72 	J15475062-3528353 	15:47:50.608 	-35:28:35.779 	6.3811 	0.0184 	1.293 	156.71 	[-14.089, -23.195] 	II 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.23, 0.11] 	[Ansdell+2016, Ansdell+2018] 	[14.10, 5.54] 	[3.62, 4.09] 	4.09 	[, ] 	[, ] 	< 	0.07 	10.9697 	Alcala+14,17,19 	Sz72 	3560 	0.272 	-1.765 	0.374 	-8.601 	0.3849 	-8.613 	0.39 	-8.62 	0.374 	-8.601 	--
Lupus 	Sz73 	J15475693-3514346 	15:47:56.922 	-35:14:35.185 	6.3362 	0.0274 	1.221 	157.82 	[-13.712, -22.365] 	II 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.39, 0.11] 	[Ansdell+2016, Ansdell+2018] 	[30.43, 10.84] 	[7.92, 8.11] 	8.11 	[, 0.37] 	[, 0.02] 	-- 	0.2 	31.564 	Alcala+14,17,19 	Sz73 	4020 	0.466 	-0.954 	0.732 	-8.07 	0.7599 	-8.086 	0.7 	-8.05 	0.7 	-8.05 	--
Lupus 	Sz74 	J15480523-3515526 	15:48:05.213 	-35:15:53.342 	7.0598 	0.3909 	12.075 	158 	[-11.326, -22.106] 	II 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.29, 0.13] 	[Ansdell+2016, Ansdell+2018] 	[20.94, 8.20] 	[5.46, 6.15] 	6.15 	[, ] 	[, ] 	-- 	-- 	-- 	Alcala+14,17,19 	Sz74 	3300 	1.152 	-1.452 	nan 	nan 	0.3 	-7.813 	nan 	nan 	0.3 	-7.813 	--
Lupus 	Sz75 	J15491210-3539051 	15:49:12.086 	-35:39:05.463 	-- 	-- 	-- 	158 	[, ] 	II 	1 	[ALMA, ALMA] 	[??, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.34, 0.09] 	[Sanchis+2019, Ansdell+2018] 	[78.00, 34.10] 	[20.35, 25.58] 	25.58 	[, 0.37] 	[, 0.01] 	-- 	-- 	-- 	Alcala+14,17,19 	Sz75 	4115 	1.602 	-0.655 	0.715 	-7.513 	0.79 	-7.556 	0.61 	-7.44 	0.61 	-7.44 	--
Lupus 	Sz76 	J15493074-3549514 	15:49:30.719 	-35:49:51.825 	6.3938 	0.0230 	1.252 	156.40 	[-12.828, -23.703] 	II 	1 	[ALMA, ALMA] 	[??, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.35, 0.08] 	[Sanchis+2019, Ansdell+2018] 	[12.00, 4.70] 	[3.07, 3.46] 	3.46 	[, 0.77] 	[, 0.06] 	-- 	-- 	-- 	Alcala+14,17,19 	Sz76 	3190 	0.172 	-2.567 	0.188 	-9.109 	0.215 	-9.165 	0.18 	-9.1 	0.188 	-9.109 	--
Lupus 	Sz77 	J15514695-3556440 	15:51:46.941 	-35:56:44.531 	6.4411 	0.0180 	1.172 	155.25 	[-12.550, -24.183] 	II 	1 	[ALMA, ALMA] 	[??, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.20, 0.08] 	[Sanchis+2019, Ansdell+2018] 	[4.88, 1.90] 	[1.23, 1.38] 	1.38 	[, ] 	[, ] 	-- 	-- 	-- 	Alcala+14,17,19 	Sz77 	4020 	0.593 	-1.667 	0.699 	-8.711 	0.745 	-8.738 	0.67 	-8.69 	0.67 	-8.69 	--
Lupus 	Sz81A 	J15555030-3801329 	15:55:50.264 	-38:01:34.087 	6.3199 	0.0236 	1.314 	158.23 	[-11.426, -22.813] 	II 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.23, 0.12] 	[Ansdell+2016, Ansdell+2018] 	[9.46, 4.24] 	[2.47, 3.19] 	3.19 	[, ] 	[, ] 	-- 	-- 	-- 	Alcala+14,17,19 	Sz81A 	3085 	0.244 	-2.448 	0.188 	-8.886 	0.2 	-8.911 	0.18 	-8.86 	0.188 	-8.886 	--
Lupus 	J15560210-3655282 	J15560210-3655282 	15:56:02.084 	-36:55:28.666 	6.3309 	0.0230 	1.472 	157.96 	[-11.851, -22.506] 	II 	1 	[ALMA, ALMA] 	[??, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.35, 0.08] 	[Sanchis+2019, Ansdell+2018] 	[57.52, 23.50] 	[15.00, 17.62] 	17.62 	[, ] 	[, ] 	-- 	-- 	-- 	-- 	J15560210-3655282 	-99 	-99 	-99 	-99 	-- 	-99 	-- 	-99 	-99 	-99 	-99 	--
Lupus 	Sz82 	J15560921-3756057 	15:56:09.192 	-37:56:06.452 	6.4175 	0.0220 	1.186 	155.82 	[-12.059, -23.727] 	II 	1 	[ALMA, ALMA] 	[??, ??] 	[0.875, 1.3] 	[0.34x0.28, 0.25x0.24] 	[0.21, 0.14] 	[Cleeves+2016, Cleeves+2016] 	[590.00, 200.00] 	[143.36, 137.22] 	137.22 	[, 1.51] 	[, 0.03] 	-- 	-- 	-- 	Alcala+14,17,19 	Sz82 	4210 	2.514 	-1.064 	0.868 	-7.929 	0.9099 	-7.949 	0.72 	-7.85 	0.72 	-7.85 	--
Lupus 	Sz83 	J15564230-3749154 	15:56:42.293 	-37:49:15.861 	6.3489 	0.0402 	2.671 	158 	[-11.457, -23.211] 	II 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.56, 0.16] 	[Ansdell+2016, Ansdell+2018] 	[426.90, 166.90] 	[111.35, 125.22] 	125.22 	[, ] 	[, ] 	-- 	0.3 	47.4 	Alcala+14,17,19 	Sz83 	4020 	1.46 	-0.258 	0.631 	-7.062 	0.71 	-7.113 	0.55 	-7 	0.55 	-7 	--
Lupus 	Sz84 	J15580252-3736026 	15:58:02.501 	-37:36:03.146 	6.4276 	0.0447 	1.904 	158 	[-12.187, -23.029] 	TD 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.32, 0.11] 	[Ansdell+2016, Ansdell+2018] 	[32.64, 12.63] 	[8.51, 9.48] 	9.48 	[, 0.53] 	[, 0.02] 	-- 	0.24 	37.92 	Alcala+14,17,19 	Sz84 	2980 	0.139 	-2.65 	0.149 	-9.077 	0.1375 	-9.042 	0.13 	-9.02 	0.149 	-9.077 	--
Lupus 	Sz129 	J15591647-4157102 	15:59:16.454 	-41:57:10.675 	6.2449 	0.0171 	1.140 	160.13 	[-10.663, -23.136] 	II 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.33, 0.12] 	[Ansdell+2016, Ansdell+2018] 	[181.12, 75.90] 	[48.53, 58.49] 	58.49 	[, 0.45] 	[, 0.01] 	-- 	0.31 	49.6403 	Alcala+14,17,19 	Sz129 	4020 	0.421 	-1.138 	0.74 	-8.281 	0.7649 	-8.295 	0.73 	-8.27 	0.73 	-8.27 	--
Lupus 	J15592523-4235066 	J15592523-4235066 	15:59:25.205 	-42:35:06.987 	6.7910 	0.0681 	1.084 	147.25 	[-17.205, -26.567] 	II 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.24, 0.10] 	[Ansdell+2016, Ansdell+2018] 	[ <0.57, 0.54] 	[ <0.13, 0.35] 	0.35 	[, ] 	[, ] 	-- 	-- 	-- 	Alcala+14,17,19 	J15592523-4235066 	2980 	0.02 	-4.419 	0.085 	-11.02 	0.1 	-11.09 	0.09 	-11.05 	0.085 	-11.02 	--
Lupus 	RYLup 	J15592838-4021513 	15:59:28.374 	-40:21:51.559 	6.5153 	0.0604 	3.123 	158 	[-10.963, -22.232] 	TD 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.50, 0.15] 	[Ansdell+2016, Ansdell+2018] 	[275.50, 86.11] 	[71.86, 64.60] 	64.6 	[, 0.89] 	[, 0.02] 	-- 	0.63 	99.54 	Alcala+14,17,19 	RYLup 	4710 	1.844 	-0.856 	1.399 	-8.092 	1.5349 	-8.132 	1.27 	-8.05 	1.27 	-8.05 	--
Lupus 	J16000060-4221567 	J16000060-4221567 	16:00:00.584 	-42:21:57.203 	6.2722 	0.0317 	1.151 	159.43 	[-11.348, -23.659] 	II 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.25, 0.11] 	[Ansdell+2016, Ansdell+2018] 	[2.40, 0.97] 	[0.64, 0.74] 	0.74 	[, ] 	[, ] 	-- 	0.29 	46.2347 	Alcala+14,17,19 	J16000060-4221567 	3085 	0.097 	-3.049 	0.149 	-9.583 	0.155 	-9.6 	0.13 	-9.53 	0.149 	-9.583 	--
Lupus 	J16000236-4222145 	J16000236-4222145 	16:00:02.340 	-42:22:14.962 	6.2347 	0.0439 	1.733 	160.39 	[-11.517, -23.211] 	II 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.34, 0.13] 	[Ansdell+2016, Ansdell+2018] 	[119.85, 49.96] 	[32.21, 38.63] 	38.63 	[, ] 	[, ] 	-- 	0.5 	80.195 	Alcala+14,17,19 	J16000236-4222145 	3190 	0.171 	-2.94 	0.189 	-9.484 	0.2175 	-9.545 	0.19 	-9.48 	0.189 	-9.484 	--
Lupus 	J16002612-4153553 	J16002612-4153553 	16:00:26.099 	-41:53:55.782 	6.1285 	0.0483 	1.103 	163.17 	[-10.190, -23.201] 	II 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.25, 0.10] 	[Ansdell+2016, Ansdell+2018] 	[1.20, 0.42] 	[0.33, 0.34] 	0.34 	[, ] 	[, ] 	-- 	-- 	-- 	Alcala+14,17,19 	J16002612-4153553 	2920 	0.078 	-3.226 	0.108 	-9.621 	0.1 	-9.585 	0.09 	-9.54 	0.108 	-9.621 	--
Lupus 	Sz130 	J16003103-4143369 	16:00:31.022 	-41:43:37.387 	6.2822 	0.0201 	1.272 	159.18 	[-10.845, -23.338] 	II 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.24, 0.10] 	[Ansdell+2016, Ansdell+2018] 	[6.19, 1.97] 	[1.64, 1.50] 	1.5 	[, ] 	[, ] 	< 	0.17 	27.0606 	Alcala+14,17,19 	Sz130 	3560 	0.177 	-2.145 	0.394 	-9.097 	0.3675 	-9.066 	0.41 	-9.12 	0.394 	-9.097 	--
Lupus 	MYLup 	J16004452-4155310 	16:00:44.500 	-41:55:31.319 	6.3630 	0.0355 	1.903 	158 	[-11.651, -23.169] 	TD 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.56, 0.13] 	[Ansdell+2016, Ansdell+2018] 	[176.81, 67.11] 	[46.12, 50.35] 	50.35 	[, 0.73] 	[, 0.02] 	-- 	0.39 	61.62 	Alcala+14,17,19 	MYLup 	4870 	0.86 	-0.644 	1.167 	-7.996 	1.1475 	-7.989 	1.19 	-8 	1.19 	-8 	--
Lupus 	Sz131 	J16004943-4130038 	16:00:49.414 	-41:30:04.263 	6.2257 	0.0274 	1.103 	160.62 	[-11.074, -23.808] 	II 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.23, 0.10] 	[Ansdell+2016, Ansdell+2018] 	[8.57, 3.37] 	[2.31, 2.61] 	2.61 	[, ] 	[, ] 	< 	0.12 	19.2744 	Alcala+14,17,19 	Sz131 	3410 	0.15 	-2.338 	0.301 	-9.171 	0.3025 	-9.173 	0.31 	-9.19 	0.301 	-9.171 	--
Lupus 	J16011549-4152351 	J16011549-4152351 	16:01:15.531 	-41:52:35.515 	-- 	-- 	-- 	158 	[, ] 	II 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.57, 0.10] 	[Ansdell+2016, Ansdell+2018] 	[82.07, 21.76] 	[21.41, 16.33] 	16.33 	[, ] 	[, ] 	-- 	0.61 	96.38 	-- 	J16011549-4152351 	-99 	-99 	-99 	-99 	-- 	-99 	-- 	-99 	-99 	-99 	-99 	--
Lupus 	EXLup 	J16030548-4018254 	16:03:05.476 	-40:18:25.834 	6.4634 	0.0150 	1.115 	154.72 	[-10.157, -22.531] 	II 	1 	[ALMA, ALMA] 	[??, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.35, 0.09] 	[Sanchis+2019, Ansdell+2018] 	[41.78, 19.50] 	[10.45, 14.03] 	14.03 	[, 0.31] 	[, 0.01] 	-- 	-- 	-- 	Alcala+14,17,19 	EXLup 	3900 	0.731 	-0.926 	0.57 	-7.81 	0.615 	-7.842 	0.53 	-7.78 	0.57 	-7.81 	--
Lupus 	Sz133 	J16032939-4140018 	16:03:29.375 	-41:40:02.247 	8.6195 	0.6234 	4.287 	158 	[-7.471, -25.991] 	II 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.55, 0.10] 	[Ansdell+2016, Ansdell+2018] 	[69.05, 27.02] 	[18.01, 20.27] 	20.27 	[, 0.95] 	[, 0.04] 	-- 	0.46 	72.68 	Alcala+14,17,19 	Sz133 	4210 	0.074 	-1.752 	nan 	nan 	nan 	nan 	nan 	nan 	nan 	nan 	SL
Lupus 	Sz88A 	J16070061-3902194 	16:07:00.582 	-39:02:19.913 	6.3435 	0.0262 	1.204 	157.64 	[-11.303, -23.084] 	II 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.27, 0.12] 	[Ansdell+2016, Ansdell+2018] 	[8.94, 3.72] 	[2.32, 2.78] 	2.78 	[, ] 	[, ] 	-- 	-- 	-- 	Alcala+14,17,19 	Sz88A 	3900 	0.306 	-1.404 	0.653 	-8.535 	0.6349 	-8.523 	0.66 	-8.54 	0.653 	-8.535 	--
Lupus 	Sz88B 	J16070061-3902194 	16:07:00.620 	-39:02:18.100 	6.3145 	0.0948 	1.291 	158.37 	[-10.137, -22.823] 	II 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.26, 0.10] 	[Ansdell+2016, Ansdell+2018] 	[ <0.57, <0.30] 	[ <0.15, <0.23] 	<0.23 	[, ] 	[, ] 	-- 	-- 	-- 	Alcala+14,17,19 	Sz88B 	3085 	0.069 	-3.303 	0.146 	-9.904 	0.15 	-9.914 	0.13 	-9.84 	0.146 	-9.904 	--
Lupus 	J16070384-3911113 	J16070384-3911113 	16:07:03.829 	-39:11:11.900 	-- 	-- 	-- 	158 	[, ] 	TD 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.25, 0.11] 	[Ansdell+2016, Ansdell+2018] 	[4.52, 0.98] 	[1.18, 0.74] 	0.74 	[, ] 	[, ] 	-- 	0.79 	124.82 	Alcala+14,17,19 	J16070384-3911113 	3085 	0 	-5.402 	nan 	nan 	nan 	nan 	nan 	nan 	nan 	nan 	SL
Lupus 	J16070854-3914075 	J16070854-3914075 	16:07:08.535 	-39:14:07.939 	5.8383 	0.3401 	1.085 	171.28 	[-11.254, -25.263] 	TD 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.49, 0.12] 	[Ansdell+2016, Ansdell+2018] 	[92.07, 34.77] 	[28.22, 30.66] 	30.66 	[, ] 	[, ] 	-- 	0.63 	107.9064 	-- 	J16070854-3914075 	-99 	-99 	-99 	-99 	-- 	-99 	-- 	-99 	-99 	-99 	-99 	--
Lupus 	Sz90 	J16071007-3911033 	16:07:10.054 	-39:11:03.647 	6.2357 	0.0204 	1.356 	160.37 	[-9.353, -25.295] 	II 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.37, 0.10] 	[Ansdell+2016, Ansdell+2018] 	[21.83, 8.74] 	[5.87, 6.76] 	6.76 	[, ] 	[, ] 	-- 	0.1 	16.037 	Alcala+14,17,19 	Sz90 	4020 	0.419 	-1.79 	0.734 	-8.93 	0.7599 	-8.945 	0.73 	-8.93 	0.73 	-8.93 	--
Lupus 	Sz91 	J16071159-3903475 	16:07:11.575 	-39:03:47.827 	6.2738 	0.0285 	1.139 	159.39 	[-10.003, -22.776] 	TD 	1 	[ALMA, ALMA] 	[350, 225.66] 	[??, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.06, 0.10] 	[Tsukagoshi+2019, Ansdell+2018] 	[45.20, 9.52] 	[10.89, 7.27] 	7.27 	[1.185, 0.77] 	[0.002, 0.02] 	-- 	-- 	-- 	Alcala+14,17,19 	Sz91 	3720 	0.2 	-1.998 	0.52 	-9.081 	0.4675 	-9.035 	0.53 	-9.09 	0.52 	-9.081 	--
Lupus 	J16073773-3921388 	J16073773-3921388 	16:07:37.710 	-39:21:39.116 	6.1559 	0.1133 	1.079 	162.45 	[-10.454, -23.298] 	II 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.23, 0.10] 	[Ansdell+2016, Ansdell+2018] 	[1.91, 0.55] 	[0.53, 0.44] 	0.44 	[, ] 	[, ] 	< 	0.5 	81.225 	Alcala+14,17,19 	J16073773-3921388 	2920 	0.017 	-3.681 	0.067 	-10.19 	nan 	nan 	0.09 	-10.32 	0.067 	-10.19 	--
Lupus 	Sz95 	J16075230-3858059 	16:07:52.293 	-38:58:06.446 	6.2317 	0.0279 	1.237 	160.47 	[-10.607, -23.425] 	II 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.25, 0.11] 	[Ansdell+2016, Ansdell+2018] 	[4.08, 1.80] 	[1.10, 1.39] 	1.39 	[, ] 	[, ] 	< 	0.13 	20.8611 	Alcala+14,17,19 	Sz95 	3410 	0.267 	-2.687 	0.291 	-9.381 	0.3174 	-9.418 	0.3 	-9.4 	0.291 	-9.381 	--
Lupus 	J16075475-3915446 	J16075475-3915446 	16:07:54.760 	-39:15:44.811 	-- 	-- 	-- 	158 	[, ] 	F 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.33, 0.10] 	[Ansdell+2016, Ansdell+2018] 	[2.55, 0.49] 	[0.67, 0.37] 	0.37 	[, ] 	[, ] 	< 	0.69 	109.02 	-- 	J16075475-3915446 	-99 	-99 	-99 	-99 	-- 	-99 	-- 	-99 	-99 	-99 	-99 	--
Lupus 	J16080017-3902595 	J16080017-3902595 	16:08:00.157 	-39:02:59.883 	6.2060 	0.0614 	1.095 	161.13 	[-10.655, -23.481] 	II 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.21, 0.10] 	[Ansdell+2016, Ansdell+2018] 	[3.01, 1.23] 	[0.82, 0.96] 	0.96 	[, ] 	[, ] 	< 	0.28 	45.1164 	Alcala+14,17,19 	J16080017-3902595 	2920 	0.04 	-3.883 	0.077 	-10.27 	0.1 	-10.38 	0.09 	-10.34 	0.077 	-10.27 	--
Lupus 	J16080175-3912316 	J16080175-3912316 	16:08:01.750 	-39:12:31.600 	-- 	-- 	-- 	158 	[, ] 	II 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.34, 0.10] 	[Ansdell+2016, Ansdell+2018] 	[ <0.78, <0.27] 	[ <0.20, <0.20] 	<0.20 	[, ] 	[, ] 	-- 	-- 	-- 	-- 	J16080175-3912316 	-99 	-99 	-99 	-99 	-- 	-99 	-- 	-99 	-99 	-99 	-99 	--
