Region 	Source 	2MASS/SSTc2d 	RA 	Dec 	EDR3_plx 	EDR3_err_plx 	EDR3_RUWE 	EDR3_Dist_PPVII 	PM_EDR3_mas 	Disk 	Disk_Flag 	Observatory 	Freq_GHz 	Wavelength 	Beam_arcsec 	RMS_mJy/beam 	Survey_Ref 	Flux_mJy_Standardized 	Mdust_Mearth_Standardized 	Mdust_Mearth_PPVII 	Size_as 	eSize_as 	Hendler20_lR68 	Hendler20_R68_arcsec 	Hendler20_R68_au_DR3 	ref_spt 	Source_check 	Teff_HH14 	Lstar_DR3 	logLacc_DR3 	Mstar_B15_DR3 	logMacc_B15_DR3 	Mstar_S00_DR3 	logMacc_S00_DR3 	Mstar_Fei_DR3 	logMacc_Fei_DR3 	Mstar_PPVII 	logMacc_PPVII 	notes_Macc_PPVII
Taurus 	J04333905+2227207 	J04333905+2227207 	04:33:39.055 	=+22:27:20.790 	-- 	-- 	-- 	141 	[, ] 	II 	1 	[, pre-ALMA] 	[, 225] 	[, 1.3] 	[??, ??] 	[??, ??] 	[, Andrews+13] 	[, 31.0] 	[, 17.42] 	17.17 	[, ] 	[, ] 	-- 	0.56 	78.96 	HH08,HH14,Testi+22 	J04333905+2227207 	-99 	-99 	-99 	-99 	-- 	-99 	-- 	-99 	-99 	-99 	-99 	--
Taurus 	HN Tau A 	J04333935+1751523 	04:33:39.352 	=+17:51:52.370 	7.4391 	0.1377 	9.014 	141 	[11.610, -17.734] 	II 	1 	[pre-ALMA, ALMA] 	[388, 225.5] 	[0.89, 1.3] 	[??, 0.14x0.10] 	[??, 0.040] 	[Andrews+13, Long+19] 	[34.0, 12.30] 	[7.06, 6.91] 	6.81 	[, 0.136] 	[, ] 	-- 	-- 	-- 	HH08,HH14,Testi+22 	HN Tau A 	4540 	0.289 	-0.588 	0.839 	-7.973 	0.8324 	-7.969 	0.84 	-7.97 	0.84 	-7.97 	--
Taurus 	HN Tau B 	-- 	04:33:39.223 	=+17:51:49.860 	6.5277 	0.0980 	1.786 	153.19 	[9.301, -17.568] 	II 	1 	[pre-ALMA, ALMA] 	[388, ??] 	[0.89, 1.3] 	[??, ??] 	[??, ??] 	[Andrews+13, Akeson+2019] 	[ <6.0, 0.54] 	[ <1.47, 0.36] 	0.36 	[, ] 	[, ] 	-- 	-- 	-- 	HH08,HH14,Testi+22 	HN Tau B 	3022 	0.346 	-98.9 	nan 	nan 	0.1899 	-105.2 	nan 	nan 	0.1899 	-105.2 	--
Taurus 	J04334171+1750402 	J04334171+1750402 	04:33:41.718 	=+17:50:40.230 	6.9032 	0.0309 	1.153 	144.86 	[12.587, -19.651] 	II 	1 	[, pre-ALMA] 	[, 225] 	[, 1.3] 	[??, ??] 	[??, ??] 	[, Andrews+13] 	[, 6.0] 	[, 3.56] 	3.56 	[, ] 	[, ] 	-- 	-- 	-- 	HH08,HH14,Testi+22 	J04334171+1750402 	3190 	0.105 	-99 	0.195 	-105.6 	0.1949 	-105.6 	0.18 	-105.63 	0.195 	-105.6 	--
Taurus 	J04334465+2615005 	J04334465+2615005 	04:33:44.652 	=+26:15:00.530 	6.1800 	0.1425 	1.401 	161.81 	[8.054, -17.747] 	II 	1 	[ALMA, pre-ALMA] 	[338.8, 225] 	[0.885, 1.3] 	[0.34x0.24, ??] 	[0.15, ??] 	[Ward-Duong+18, Andrews+13] 	[36.33, 18.3] 	[9.80, 13.54] 	13.54 	[, ] 	[, ] 	-- 	0.34 	55.0154 	HH08,HH14,Testi+22 	J04334465+2615005 	2980 	0.417 	-99.05 	nan 	nan 	0.1775 	-105.3 	nan 	nan 	0.1775 	-105.3 	--
Taurus 	DM Tau 	J04334871+1810099 	04:33:48.718 	=+18:10:09.990 	6.9421 	0.0217 	1.487 	144.05 	[11.691, -18.292] 	II 	1 	[pre-ALMA, pre-ALMA] 	[388, 225] 	[0.89, 1.3] 	[??, ??] 	[??, ??] 	[Andrews+13, Andrews+13] 	[237.0, 89.4] 	[51.38, 52.42] 	52.42 	[, ] 	[, ] 	-- 	0.92 	132.526 	HH08,HH14,Testi+22 	DM Tau 	3410 	0.241 	-1.276 	0.291 	-7.992 	0.3125 	-8.022 	0.31 	-8.01 	0.291 	-7.992 	--
Taurus 	CI Tau 	J04335200+2250301 	04:33:52.005 	=+22:50:30.180 	6.2376 	0.0205 	1.356 	160.32 	[8.942, -17.079] 	II 	1 	[pre-ALMA, ALMA] 	[388, 225.5] 	[0.89, 1.3] 	[??, 0.13x0.11] 	[??, 0.050] 	[Andrews+13, Long+19] 	[263.6, 142.40] 	[70.79, 103.42] 	103.42 	[, 1.195] 	[, ] 	-- 	0.89 	142.6848 	HH08,HH14,Testi+22 	CI Tau 	4162 	1.654 	-98.99 	0.751 	-105.8 	0.85 	-105.9 	0.65 	-105.81 	0.65 	-105.81 	--
Taurus 	IT Tau A 	J04335470+2613275 	04:33:54.701 	=+26:13:27.520 	6.2345 	0.0182 	1.176 	160.40 	[9.539, -17.528] 	II 	1 	[ALMA, ALMA] 	[??, ??] 	[0.850, 1.3] 	[0.94x0.47, 1.26x0.74] 	[0.44, 0.21] 	[Akeson&Jensen+2014, Akeson&Jensen+2014] 	[15.82, 7.00] 	[3.79, 5.09] 	5.09 	[, ] 	[, ] 	-- 	-- 	-- 	HH08,HH14,Testi+22 	IT Tau A 	4115 	3.172 	-99 	nan 	nan 	0.8025 	-105.7 	nan 	nan 	0.8025 	-105.7 	--
Taurus 	IT Tau B 	-- 	04:33:54.590 	=+26:13:25.600 	5.8642 	0.0670 	1.671 	170.53 	[7.535, -17.914] 	II 	1 	[ALMA, ALMA] 	[??, ??] 	[0.850, 1.3] 	[0.94x0.47, 1.26x0.74] 	[0.44, 0.21] 	[Akeson&Jensen+2014, Akeson&Jensen+2014] 	[8.79, 4.17] 	[2.38, 3.43] 	3.43 	[, ] 	[, ] 	-- 	-- 	-- 	HH08,HH14,Testi+22 	IT Tau B 	3425 	3.585 	-98.95 	nan 	nan 	nan 	nan 	nan 	nan 	nan 	nan 	--
Taurus 	AA Tau 	J04345542+2428531 	04:34:55.424 	=+24:28:53.160 	7.4255 	0.0868 	3.334 	141 	[5.323, -20.680] 	II 	1 	[pre-ALMA, pre-ALMA] 	[388, 225] 	[0.89, 1.3] 	[??, ??] 	[??, ??] 	[Andrews+13, Andrews+13] 	[139.4, 65.0] 	[28.96, 36.52] 	36 	[, ] 	[, ] 	-- 	-- 	-- 	HH08,HH14,Testi+22 	AA Tau 	3792 	0.754 	-0.852 	0.486 	-7.635 	0.5199 	-7.664 	0.45 	-7.61 	0.486 	-7.635 	--
