# compiled from Owen+2011
# time (Myr), disc fraction (%)
0.316, 86.2
0.984, 83.0
1.45, 80.2
1.48, 53.0
2.00, 79.0
2.00, 53.7
2.49, 30.0
2.61, 60.0
2.99, 25.8
3.19, 52.0
4.00, 13.0
4.21, 37.9
4.99, 13.9
4.99, 12.8
4.99, 4.85
5.02, 6.73
6.01, 29.9
8.01, 10.7
8.48, 5.56
11.8, 2.69
12.0, -0.330
16.5, 1.50

